Run ID;Liczba rodziców;Generacja;Fitness;Czas [s]
0;2;12;-619.2478;3.4532
0;3;1;-605.4790;3.4267
0;4;10;-616.4884;3.4841
0;5;0;-627.9296;3.4718
0;6;14;-619.8069;3.5262
0;7;14;-625.4582;3.5207
0;8;2;-602.9666;3.2873
0;9;36;-638.6747;3.5735
0;10;17;-631.8629;3.5104
1;2;48;-605.6702;3.4399
1;3;22;-607.8552;3.4301
1;4;5;-608.5607;3.5033
1;5;2;-615.3348;3.5161
1;6;49;-597.7975;3.5377
1;7;6;-608.5607;3.2321
1;8;23;-616.5812;3.5881
1;9;16;-625.2064;3.5654
1;10;7;-599.7685;3.5478
2;2;4;-609.2478;3.4666
2;3;28;-619.8069;3.4188
2;4;5;-607.7975;3.5645
2;5;19;-607.7975;3.5113
2;6;1;-645.7471;3.6022
2;7;6;-605.4406;3.6938
2;8;3;-618.4837;3.7038
2;9;49;-609.8069;3.6394
2;10;7;-609.8069;3.5811
3;2;40;-597.8360;3.4828
3;3;8;-641.8629;3.4340
3;4;12;-605.4790;3.4911
3;5;26;-612.8512;3.4890
3;6;7;-607.8360;3.5031
3;7;13;-601.9292;3.5788
3;8;10;-618.5607;3.6140
3;9;33;-635.7471;3.5781
3;10;12;-617.8360;3.5468
4;2;32;-637.4127;3.4301
4;3;6;-802.3143;3.4340
4;4;42;-599.8069;3.4965
4;5;0;-587.7975;3.4576
4;6;0;-615.3348;3.5406
4;7;0;-605.4406;3.5424
4;8;0;-612.9281;3.5970
4;9;46;-609.8613;3.5707
4;10;27;-631.3630;3.5172
5;2;16;-622.9281;3.4091
5;3;7;-809.6723;3.4476
5;4;16;-629.7300;3.5251
5;5;1;-577.8552;3.4711
5;6;5;-611.9292;3.5542
5;7;5;-597.8360;3.5327
5;8;37;-628.6747;3.5855
5;9;1;-579.7685;3.6214
5;10;0;-605.4790;3.5547
6;2;28;-589.7685;3.4680
6;3;34;-612.9281;3.4741
6;4;15;-641.8629;3.4738
6;5;3;-638.4837;3.4721
6;6;2;-595.7087;3.2531
6;7;1;-799.0304;3.5955
6;8;6;-605.4790;3.6146
6;9;16;-595.2964;3.6532
6;10;24;-609.5193;3.3199
7;2;3;-609.8069;3.4793
7;3;2;-632.9281;3.4750
7;4;8;-605.4790;3.5300
7;5;7;-611.9677;3.5782
7;6;1;-605.4406;3.5463
7;7;4;-615.4983;3.5871
7;8;1;-615.2964;3.6670
7;9;6;-635.4983;3.6071
7;10;24;-617.7975;3.5800
8;2;43;-622.8512;3.4754
8;3;7;-598.5222;3.1427
8;4;3;-609.8069;3.4956
8;5;23;-789.7492;3.4861
8;6;0;-631.8629;3.5775
8;7;4;-595.4582;3.5598
8;8;23;-612.8512;3.7419
8;9;4;-807.8095;3.7612
8;10;27;-629.8069;3.5950
9;2;12;-597.8552;3.4784
9;3;6;-618.5607;3.1818
9;4;6;-597.7975;3.5413
9;5;7;-609.2478;3.5185
9;6;7;-629.7300;3.5687
9;7;49;-602.9281;3.5594
9;8;8;-602.9281;3.5954
9;9;6;-612.9281;3.5477
9;10;5;-599.8069;3.5460
