Run ID;Liczba rodziców;Generacja;Fitness;Czas [s]
0;2;20;-617.5495;1.4274
0;3;4;-617.5495;1.4146
0;4;0;-608.6982;1.4569
0;5;3;-617.6433;1.4225
0;6;1;-617.6433;1.4383
0;7;16;-617.5495;1.4492
0;8;0;-608.6045;1.4872
0;9;3;-608.6982;1.4506
0;10;3;-608.6045;1.4170
1;2;8;-617.5495;1.4171
1;3;18;-608.6045;1.4011
1;4;0;-618.3873;1.4251
1;5;5;-608.6045;1.3987
1;6;1;-617.6433;1.4349
1;7;6;-617.6433;1.4409
1;8;14;-608.6982;1.4827
1;9;10;-611.1061;1.4523
1;10;27;-608.6045;1.4202
2;2;15;-608.6045;1.4228
2;3;0;-617.6433;1.4101
2;4;0;-608.6045;1.4474
2;5;4;-618.3873;1.4130
2;6;4;-611.1998;1.4491
2;7;6;-618.6982;1.4631
2;8;2;-618.4810;1.4645
2;9;8;-608.6045;1.4628
2;10;0;-618.4810;1.4393
3;2;2;-618.3873;1.4043
3;3;7;-617.5495;1.4124
3;4;3;-618.3873;1.4272
3;5;0;-618.4810;1.4275
3;6;20;-611.1061;1.4324
3;7;12;-608.6045;1.4529
3;8;6;-608.6045;1.4861
3;9;2;-608.6982;1.4485
3;10;10;-608.6982;1.4136
4;2;0;-618.4810;1.4081
4;3;4;-617.5495;1.4141
4;4;12;-611.1061;1.4421
4;5;13;-608.6045;1.4290
4;6;17;-617.5495;1.4633
4;7;1;-618.3873;1.4730
4;8;17;-608.6045;1.5208
4;9;8;-617.5495;1.5435
4;10;2;-611.1061;1.4339
5;2;1;-617.6433;1.4266
5;3;3;-608.6982;1.4155
5;4;1;-617.5495;1.4490
5;5;1;-618.3873;1.4253
5;6;2;-611.1061;1.4494
5;7;1;-618.3873;1.4704
5;8;0;-617.5495;1.5005
5;9;6;-608.6045;1.4688
5;10;5;-618.3873;1.4584
6;2;2;-608.6045;1.4279
6;3;13;-618.3873;1.4100
6;4;2;-618.4810;1.4384
6;5;0;-618.4810;1.4096
6;6;2;-608.6045;1.4197
6;7;10;-617.6433;1.4625
6;8;8;-617.5495;1.4948
6;9;4;-608.6045;1.4817
6;10;11;-617.5495;1.4642
7;2;6;-608.6982;1.4571
7;3;10;-617.5495;1.4217
7;4;2;-618.6982;1.4591
7;5;3;-608.6045;1.4643
7;6;2;-617.6433;1.4690
7;7;3;-617.5495;1.5404
7;8;3;-617.5495;1.5659
7;9;0;-617.5495;1.5513
7;10;9;-608.6982;1.4632
8;2;20;-611.1061;1.4489
8;3;6;-617.6433;1.4440
8;4;10;-617.5495;1.4597
8;5;18;-617.5495;1.4353
8;6;2;-617.5495;1.5225
8;7;1;-617.6433;1.4688
8;8;3;-618.4810;1.4884
8;9;12;-618.3873;1.4699
8;10;1;-618.4810;1.4387
9;2;2;-608.6045;1.4368
9;3;0;-608.6045;1.4221
9;4;0;-617.5495;1.4559
9;5;11;-618.3873;1.4378
9;6;0;-618.3873;1.4493
9;7;1;-617.6433;1.4760
9;8;1;-608.6982;1.5327
9;9;2;-617.6433;1.4920
9;10;0;-617.5495;1.4584
