Run ID;Liczba rodziców;Generacja;Fitness;Czas [s]
0;2;4;-46.3728;1.4068
0;3;4;-36.3728;1.4039
0;4;2;-49.3151;1.4238
0;5;3;-49.3151;1.4088
0;6;0;-49.3151;1.4354
0;7;3;-36.3728;1.4508
0;8;0;-36.3728;1.5009
0;9;1;-46.3728;1.4681
0;10;4;-46.3728;1.4540
1;2;1;-36.3728;1.4199
1;3;3;-54.4068;1.4081
1;4;7;-36.3728;1.4414
1;5;0;-46.3728;1.4166
1;6;2;-46.3728;1.4410
1;7;3;-54.4068;1.4479
1;8;2;-36.3728;1.4824
1;9;0;-36.3728;1.4830
1;10;9;-46.3728;1.4600
2;2;1;-54.4068;1.4222
2;3;0;-46.3728;1.4165
2;4;2;-64.5933;1.2724
2;5;7;-49.3151;1.4278
2;6;5;-49.3151;1.4432
2;7;1;-36.3728;1.4651
2;8;0;-42.3304;1.4874
2;9;0;-42.3304;1.5063
2;10;2;-49.3151;1.4650
3;2;2;-36.3728;1.4260
3;3;0;-46.3728;1.4061
3;4;1;-49.3151;1.4411
3;5;0;-54.4068;1.4178
3;6;2;-36.3728;1.4606
3;7;0;-36.3728;1.4575
3;8;4;-54.4068;1.4791
3;9;11;-36.3728;1.4917
3;10;0;-42.3304;1.4839
4;2;11;-42.3304;1.4256
4;3;3;-46.3728;1.4105
4;4;4;-36.3728;1.4403
4;5;0;-36.3728;1.4421
4;6;1;-46.3728;1.4425
4;7;2;-49.3151;1.4564
4;8;2;-59.3151;1.4751
4;9;1;-36.3728;1.4775
4;10;1;-42.3304;1.4610
5;2;4;-49.3151;1.4154
5;3;1;-49.3151;1.4184
5;4;0;-36.3728;1.4212
5;5;2;-42.3304;1.4274
5;6;1;-36.3728;1.4516
5;7;0;-54.4068;1.4587
5;8;3;-36.3728;1.4915
5;9;0;-36.3728;1.4803
5;10;2;-42.3304;1.4706
6;2;0;-49.3151;1.4227
6;3;0;-54.4068;1.4124
6;4;1;-36.3728;1.4784
6;5;1;-46.3728;1.4375
6;6;7;-36.3728;1.4830
6;7;1;-42.3304;1.4828
6;8;0;-49.3151;1.5515
6;9;2;-36.3728;1.5108
6;10;2;-36.3728;1.4696
7;2;4;-36.3728;1.4293
7;3;7;-36.3728;1.4456
7;4;2;-54.4068;1.4451
7;5;0;-36.3728;1.4305
7;6;0;-46.3728;1.4985
7;7;0;-46.3728;1.4718
7;8;0;-36.3728;1.4874
7;9;0;-36.3728;1.4899
7;10;1;-52.3304;1.5052
8;2;3;-49.3151;1.4814
8;3;0;-36.3728;1.4773
8;4;0;-36.3728;1.5185
8;5;0;-49.3151;1.5050
8;6;1;-36.3728;1.4897
8;7;0;-46.3728;1.4606
8;8;8;-42.3304;1.5224
8;9;5;-49.3151;1.4749
8;10;2;-49.3151;1.5132
9;2;0;-52.3304;1.4256
9;3;7;-54.4068;1.4339
9;4;1;-46.3728;1.4661
9;5;1;-36.3728;1.4439
9;6;1;-36.3728;1.4686
9;7;2;-49.3151;1.4896
9;8;2;-36.3728;1.5112
9;9;2;-42.3304;1.4990
9;10;0;-46.3728;1.4669
