Run ID;Liczba rodziców;Generacja;Fitness;Czas [s]
0;2;71;-350.4640;2.4852
0;3;348;-727.7271;2.3829
0;4;59;-503.7931;2.5638
0;5;217;-463.7546;2.5298
0;6;602;-457.6308;2.5574
0;7;287;-464.6093;2.5309
0;8;0;-661.9292;2.4932
0;9;0;-842.8704;2.3951
0;10;1256;-273.6777;2.4500
1;2;40;-573.7128;2.4341
1;3;88;-603.2722;2.5002
1;4;1434;-517.5154;2.5348
1;5;1291;-807.6452;2.3942
1;6;606;-849.8496;2.4702
1;7;1206;-641.2282;2.4849
1;8;413;-474.5709;2.5247
1;9;0;-679.4700;2.4708
1;10;0;-675.4406;2.3990
2;2;0;-855.3829;2.4400
2;3;51;-595.7664;2.5093
2;4;0;-689.2094;2.4790
2;5;0;-855.2387;2.4442
2;6;681;-436.9626;2.4671
2;7;117;-658.8351;2.4517
2;8;0;-669.2094;2.3828
2;9;0;-783.7643;2.4542
2;10;0;-689.4700;2.3519
3;2;64;-577.5473;2.5186
3;3;1082;-772.4835;2.4663
3;4;0;-675.4406;2.4521
3;5;1105;-764.3401;2.4831
3;6;238;-337.5538;2.4521
3;7;5;-619.4232;2.4947
3;8;0;-677.7975;2.6282
3;9;533;-426.0432;2.4202
3;10;1364;-527.4577;2.5417
4;2;27;-505.9278;2.4176
4;3;109;-518.5991;2.5714
4;4;749;-744.7055;2.5290
4;5;0;-685.4406;2.4962
4;6;0;-699.4700;2.5458
4;7;0;-859.1517;2.5059
4;8;158;-483.8288;2.5988
4;9;48;-380.5024;2.5218
4;10;986;-563.6392;2.6416
5;2;0;-847.7399;2.6266
5;3;26;-823.0590;2.5377
5;4;22;-664.0101;2.5995
5;5;0;-851.8821;2.5584
5;6;0;-665.4406;2.4433
5;7;2;-616.6197;2.4699
5;8;1225;-527.4577;2.6101
5;9;0;-687.7975;2.4236
5;10;1046;-676.0432;2.4356
6;2;99;-535.7558;2.5712
6;3;892;-655.9663;2.5640
6;4;0;-665.4406;2.3428
6;5;727;-493.7354;2.5940
6;6;867;-490.0100;2.3951
6;7;0;-679.4700;2.5557
6;8;543;-453.8123;2.7914
6;9;1328;-753.6584;2.5235
6;10;590;-454.6670;2.4602
7;2;1;-561.9590;2.5633
7;3;0;-685.2964;2.3956
7;4;1203;-575.2179;2.6141
7;5;0;-689.2094;2.5677
7;6;0;-679.4700;2.5733
7;7;0;-699.4700;2.7617
7;8;0;-675.4406;2.4888
7;9;0;-667.7975;2.4959
7;10;1045;-293.7546;2.6585
8;2;0;-669.4700;2.5432
8;3;0;-679.2094;2.4811
8;4;2;-839.1768;2.5895
8;5;0;-655.2964;2.5549
8;6;1379;-301.7917;2.7481
8;7;355;-307.4961;2.6010
8;8;0;-675.4406;2.4419
8;9;1490;-521.3703;2.5562
8;10;1101;-495.4144;2.9162
9;2;47;-494.1531;2.4868
9;3;220;-508.4152;2.5153
9;4;0;-837.7399;2.5712
9;5;0;-675.2964;2.5281
9;6;0;-685.4406;2.5901
9;7;0;-659.2094;2.4785
9;8;419;-645.9663;2.5663
9;9;0;-828.6611;2.4886
9;10;411;-486.0047;2.3326
