Run ID;Liczba rodziców;Generacja;Fitness;Czas [s]
0;2;816;-417.6433;1.2776
0;3;1019;-398.3134;1.2305
0;4;1123;-405.0450;1.2470
0;5;1386;-416.6785;1.2569
0;6;688;-416.6785;1.1826
0;7;1382;-406.6785;1.2036
0;8;559;-406.7097;1.2165
0;9;47;-378.8232;1.2864
0;10;1042;-406.6785;1.2045
1;2;901;-402.1736;1.2471
1;3;1441;-391.3838;1.2096
1;4;720;-378.8232;1.2751
1;5;1206;-378.8232;1.2119
1;6;86;-378.8232;1.2294
1;7;481;-416.7097;1.1906
1;8;909;-406.6785;1.2582
1;9;423;-406.6785;1.1779
1;10;413;-418.6045;1.2399
2;2;393;-406.7097;1.2239
2;3;1476;-408.6670;1.2323
2;4;17;-359.7228;1.2236
2;5;36;-426.7410;1.1739
2;6;569;-408.6045;1.2698
2;7;209;-416.6785;1.1902
2;8;47;-378.8232;1.3162
2;9;1086;-416.6785;1.1827
2;10;1013;-408.6670;1.2149
3;2;851;-408.3384;1.2522
3;3;16;-406.6785;1.2231
3;4;905;-406.6785;1.2279
3;5;1436;-349.2874;1.1479
3;6;18;-378.8232;1.3111
3;7;150;-406.6785;1.2003
3;8;217;-406.6785;1.2112
3;9;32;-411.1686;1.1817
3;10;19;-418.6357;1.2369
4;2;702;-378.8232;1.2400
4;3;755;-406.7097;1.2572
4;4;1132;-411.1998;1.2169
4;5;11;-416.6785;1.1665
4;6;950;-391.3838;1.3738
4;7;72;-378.8232;1.3209
4;8;53;-378.8232;1.2551
4;9;243;-416.6785;1.1818
4;10;577;-406.7097;1.1461
5;2;59;-378.8232;1.2667
5;3;732;-411.7527;1.2043
5;4;1434;-416.6785;1.2218
5;5;39;-408.6670;1.1932
5;6;103;-408.6670;1.2054
5;7;390;-406.6785;1.3399
5;8;71;-408.6982;1.3252
5;9;1051;-406.6785;1.1844
5;10;17;-402.1736;1.1605
6;2;89;-408.6982;1.2573
6;3;1072;-378.8232;1.2732
6;4;722;-408.6982;1.2955
6;5;968;-351.8577;1.2794
6;6;393;-406.6785;1.1938
6;7;24;-391.3838;1.2025
6;8;41;-406.6785;1.2038
6;9;620;-418.6045;1.2954
6;10;656;-406.7097;1.1507
7;2;87;-378.8232;1.2908
7;3;52;-411.1686;1.2537
7;4;606;-406.6785;1.2102
7;5;663;-406.6785;1.1782
7;6;175;-378.8232;1.3288
7;7;83;-416.6785;1.1928
7;8;427;-416.6785;1.2258
7;9;1316;-406.6785;1.2353
7;10;225;-406.6785;1.1567
8;2;154;-406.6785;1.2658
8;3;1155;-418.6357;1.2822
8;4;1330;-416.7097;1.2445
8;5;426;-408.6045;1.2854
8;6;46;-394.0262;1.2022
8;7;41;-406.6785;1.1944
8;8;66;-416.6785;1.2249
8;9;213;-416.6785;1.1927
8;10;69;-378.8232;1.2763
9;2;178;-406.6785;1.2422
9;3;1064;-416.6785;1.1976
9;4;1051;-395.3322;1.2159
9;5;886;-406.6785;1.2033
9;6;301;-406.6785;1.1995
9;7;820;-416.6785;1.2110
9;8;88;-378.8232;1.3464
9;9;54;-378.8232;1.3164
9;10;210;-406.6785;1.1547
